"id_estacion","nombre","isla","localidad","profundidad_m","lat","lon","anyo","densidad_global_feixos_m2","fuente","prev_year","prev_density","delta_pct_yr","id_pradera","dhd_accumulated"
"25.2","Son Bou II","Menorca","Migjorn Gran",15,39.8963,4.0668,2023,280,"Xarxa Monitoratge Posidonia - Memoria 2023",2019,766,-15.8616187989556,"25",8.1198787689209
"25.3","Son Bou III","Menorca","Migjorn Gran",30,39.8908,4.0637,2023,109,"Xarxa Monitoratge Posidonia - Memoria 2023",2019,750,-21.3666666666667,"25",8.1198787689209
"26.1","Cala En Porter I","Menorca","Alaior",8,39.8703,4.1368,2023,353,"Xarxa Monitoratge Posidonia - Memoria 2023",2019,1004,-16.2101593625498,"26",8.04989242553711
"26.2","Cala En Porter II","Menorca","Alaior",15,39.8636,4.1369,2023,374,"Xarxa Monitoratge Posidonia - Memoria 2023",2019,789,-13.149556400507,"26",8.04989242553711
"26.3","Cala En Porter III","Menorca","Alaior",31,39.8598,4.1341,2023,129,"Xarxa Monitoratge Posidonia - Memoria 2023",2019,688,-20.3125,"26",8.04989242553711
"27.1","Cala S. Esteve I","Menorca","Maó",11,39.863,4.3069,2023,337,"Xarxa Monitoratge Posidonia - Memoria 2023",2019,881,-15.4370034052213,"27",6.07991218566895
"27.2","Cala S. Esteve II","Menorca","Maó",17,39.863,4.3077,2023,141,"Xarxa Monitoratge Posidonia - Memoria 2023",2019,660,-19.6590909090909,"27",6.07991218566895
"27.3","Cala S. Esteve III","Menorca","Maó",27,39.8631,4.3077,2023,148,"Xarxa Monitoratge Posidonia - Memoria 2023",2019,367,-14.9182561307902,"27",6.07991218566895
"3","Portocristo","Mallorca","Manacor",5,39.5354,3.3397,2022,552,"Xarxa Monitoratge Posidonia - Memoria 2022",2019,560,-0.476190476190476,"3",40.129581451416
"3","Portocristo","Mallorca","Manacor",5,39.5354,3.3397,2024,603,"Xarxa Monitoratge Posidonia - Memoria 2024",2022,552,4.6195652173913,"3",3.11994600296021
"31.2","Tirant II","Menorca","Mercadal",14,40.0628666666667,4.13781666666667,2023,391,"Xarxa Monitoratge Posidonia - Memoria 2023",2019,911,-14.2700329308452,"31",5.20993280410767
"32.1","Fornells I","Menorca","Mercadal",7,40.05845,4.13781666666667,2023,465,"Xarxa Monitoratge Posidonia - Memoria 2023",2019,606,-5.81683168316832,"32",5.20993280410767
"32.200000000000003","Fornells II","Menorca","Mercadal",14,40.0577,4.13705,2023,76,"Xarxa Monitoratge Posidonia - Memoria 2023",2019,299,-18.6454849498328,"32",5.20993280410767
"32.299999999999997","Fornells III","Menorca","Mercadal",15,40.0618666666667,4.13623333333333,2023,176,"Xarxa Monitoratge Posidonia - Memoria 2023",2019,475,-15.7368421052632,"32",5.20993280410767
"33","Binidalí","Menorca","Sant Lluís",10,39.8237,4.2207,2023,467,"Xarxa Monitoratge Posidonia - Memoria 2023",2019,765,-9.73856209150327,"33",7.50990581512451
"34.200000000000003","Cala Blanca II","Menorca","Ciudadela",18,39.9663166666667,3.8305,2023,453,"Xarxa Monitoratge Posidonia - Memoria 2023",2019,624,-6.85096153846154,"34",6.66989231109619
"35.1","Son Saura II","Menorca","Mercadal",15,40.0369,4.1679,2023,384,"Xarxa Monitoratge Posidonia - Memoria 2023",2019,895,-14.2737430167598,"35",5.20993280410767
"35.2","Son Saura III","Menorca","Mercadal",28,40.0461,4.1731,2023,264,"Xarxa Monitoratge Posidonia - Memoria 2023",2019,515,-12.1844660194175,"35",4.92993927001953
"38","Portopetro","Mallorca","Portopetro",8,39.3586,3.2204,2024,533,"Xarxa Monitoratge Posidonia - Memoria 2024",2022,520,1.25,"38",2.30993938446045
"39","Portocolom","Mallorca","Felanitx",5,39.4162,3.2705,2022,491,"Xarxa Monitoratge Posidonia - Memoria 2022",2019,865,-14.4123314065511,"39",44.0495834350586
"39","Portocolom","Mallorca","Felanitx",5,39.4162,3.2705,2023,489,"Xarxa Monitoratge Posidonia - Memoria 2023",2022,491,-0.407331975560081,"39",10.9798450469971
"4","Cala Figuera","Mallorca","Calvià",19,39.4638,2.5228,2024,260,"Xarxa Monitoratge Posidonia - Memoria 2024",2019,274,-1.02189781021898,"4",4.38991260528564
"40","Son Caliu","Mallorca","Calvià",3,39.5255,2.5482,2022,949,"Xarxa Monitoratge Posidonia - Memoria 2022",2019,787,6.86149936467598,"40",52.2295875549316
"40","Son Caliu","Mallorca","Calvià",3,39.5255,2.5482,2023,866,"Xarxa Monitoratge Posidonia - Memoria 2023",2022,949,-8.74604847207587,"40",12.2997980117798
"40","Son Caliu","Mallorca","Calvià",3,39.5255,2.5482,2024,866,"Xarxa Monitoratge Posidonia - Memoria 2024",2023,866,0,"40",4.52990579605103
"41","Es Vedrà","Eivissa","Sant Josep",10,38.854,1.2,2023,389,"Xarxa Monitoratge Posidonia - Memoria 2023",2022,385,1.03896103896104,"41",16.8998107910156
"41","Es Vedrà","Eivissa","Sant Josep",10,38.854,1.2,2024,424,"Xarxa Monitoratge Posidonia - Memoria 2024",2023,389,8.9974293059126,"41",0.399979799985886
"45","Cala Olivera","Eivissa","Santa Eulària",9,38.95,1.58,2024,691,"Xarxa Monitoratge Posidonia - Memoria 2024",2023,460,50.2173913043478,"45",1.40995955467224
"46","Cala Mastella","Eivissa","Santa Eulària",11,38.96,1.59,2024,417,"Xarxa Monitoratge Posidonia - Memoria 2024",2023,359,16.1559888579387,"46",1.40995955467224
"47","Tagomago","Eivissa","Santa Eulària",9,39.03,1.65,2024,368,"Xarxa Monitoratge Posidonia - Memoria 2024",2023,406,-9.35960591133005,"47",1.19996631145477
"6","S'Estanyol","Mallorca","Llucmajor",5,39.3576,2.9174,2022,644,"Xarxa Monitoratge Posidonia - Memoria 2022",2019,987,-11.5839243498818,"6",50.8495750427246
"6","S'Estanyol","Mallorca","Llucmajor",5,39.3576,2.9174,2023,595,"Xarxa Monitoratge Posidonia - Memoria 2023",2022,644,-7.60869565217391,"6",12.7198314666748
"6","S'Estanyol","Mallorca","Llucmajor",5,39.3576,2.9174,2024,515,"Xarxa Monitoratge Posidonia - Memoria 2024",2023,595,-13.4453781512605,"6",2.77992582321167
"7","Cala Tuent","Mallorca","Escorca",4,39.8413,2.7756,2022,439,"Xarxa Monitoratge Posidonia - Memoria 2022",2019,650,-10.8205128205128,"7",40.9595947265625
"7","Cala Tuent","Mallorca","Escorca",4,39.8413,2.7756,2023,546,"Xarxa Monitoratge Posidonia - Memoria 2023",2022,439,24.373576309795,"7",12.7198648452759
"7","Cala Tuent","Mallorca","Escorca",4,39.8413,2.7756,2024,623,"Xarxa Monitoratge Posidonia - Memoria 2024",2023,546,14.1025641025641,"7",6.70989894866943
"8","Puigderrós","Mallorca","Llucmajor",9,39.4337,2.7449,2023,439,"Xarxa Monitoratge Posidonia - Memoria 2023",2022,514,-14.591439688716,"8",13.0498113632202
"8","Puigderrós","Mallorca","Llucmajor",9,39.4337,2.7449,2024,517,"Xarxa Monitoratge Posidonia - Memoria 2024",2023,439,17.7676537585421,"8",4.61989879608154
